Id,Cycle,Population,Group,DiseaseStage,Scr,Probability,Dgeneral,DProgExits,DProgEntries,D Treatment,SWIDU dynamics,CondomUse,Partnerships,PropMaleCirc
0,0,16329210.000000002,Gen Pop Men,Uninfected,0.0,0.9390000000000001,137385.43500000017,0,0.0,0.0,-811.5456360000002,0.30000000000000004,1.5,0
1,0,53039.5,Gen Pop Men,Acute,0.0016315178438582175,0.00305,-2121.58,2.0,324275.76008708077,0.0,-2.4881462,0.30000000000000004,1.5,0
2,0,265197.5,Gen Pop Men,Early,0.0040787946096455426,0.01525,-23867.774999999998,0.5,53039.5,0.0,-12.440731000000001,0.30000000000000004,1.5,0
3,0,212158.0,Gen Pop Men,Med,0.0036709151486809893,0.0122,-29702.120000000003,0.2,66299.375,0.0,-9.9525848,0.30000000000000004,1.5,0
4,0,212158.0,Gen Pop Men,Late,0.00652607137543287,0.0122,-40310.020000000004,0.2,21215.800000000003,-10607.900000000001,-9.9525848,0.30000000000000004,1.5,0
5,0,169726.40000000002,Gen Pop Men,Adv,0.016315178438582174,0.009760000000000001,-40734.33600000001,0.5,21215.800000000003,-7425.530000000002,-7.962067840000001,0.30000000000000004,1.5,0
6,0,74255.29999999999,Gen Pop Men,AIDS,0.0071378905668796995,0.0042699999999999995,-19677.654499999997,0.0,42431.600000000006,-2917.1724999999997,-3.4834046799999996,0.30000000000000004,1.5,0
7,0,0.0,Gen Pop Men,Acute Tx,0.0,0.0,0.0,0.1,0.0,-0.0,0.0,0.30000000000000004,1.5,0
8,0,0.0,Gen Pop Men,Early Tx,0.0,0.0,0.0,0.1,0.0,-0.0,0.0,0.30000000000000004,1.5,0
9,0,0.0,Gen Pop Men,Med Tx,0.0,0.0,0.0,0.1,0.0,-0.0,0.0,0.30000000000000004,1.5,0
10,0,0.0,Gen Pop Men,Late Tx,0.0,0.0,0.0,0.1,0.0,10607.900000000001,0.0,0.30000000000000004,1.5,0
11,0,42431.600000000006,Gen Pop Men,Adv Tx,0.00020393973048227736,0.0024400000000000003,-3394.5280000000007,0.1,0.0,7425.530000000002,-1.9905169600000003,0.30000000000000004,1.5,0
12,0,31823.699999999997,Gen Pop Men,AIDS Tx,0.00015295479786170798,0.0018299999999999998,-3023.2515,0.0,2121.5800000000004,2917.1724999999997,-1.49288772,0.30000000000000004,1.5,0
13,0,15351497.0,Gen Pop Women,Uninfected,0.0,0.917,176493.9550000003,0,0.0,0.0,-5304.831234,0.30000000000000004,1.5,0
14,0,69475.15000000001,Gen Pop Women,Acute,0.0005513013618910449,0.004150000000000001,-2779.0060000000003,2.0,103014.24433228969,0.0,-19.2530453,0.30000000000000004,1.5,0
